Month,Year,Title,Topic
continuous,continuous,string,string
,,meta,meta
3.0,2010.0,"""Momma's Got the Pill"": How Anthony Comstock and Griswold v. Connecticut Shaped US Childbearing",ML
12.0,1953.0,"""Realism"" In Policy Espousal",ML
2.0,1926.0,"""The Worker in Modern Economic Society""",ML
5.0,2014.0,(Dis)Organization and Success in an Economics MOOC,ML
10.0,1974.0,1974 Directory of Members,ML
12.0,1997.0,A,ML
8.0,2004.0,A Cognitive Hierarchy Model of Games,ML
12.0,2006.0,A Dual-Self Model of Impulse Control,ML
5.0,2015.0,A Measure of Robustness to Misspecification,ML
7.0,1955.0,A Model for Optimizing Production by Reference to Cost Surrogates,ML
9.0,1969.0,A Model of an Agrarian Economy with Nonagricultural Activities,ML
6.0,1991.0,A Natural Experiment in the Organization of Entry-Level Labor Markets: Regional Markets for New Physicians and Surgeons in the United Kingdom,ML
7.0,2018.0,"A ONE COVARIATE AT A TIME, MULTIPLE TESTING APPROACH TO VARIABLE SELECTION IN HIGH-DIMENSIONAL LINEAR REGRESSION MODELS",ML
11.0,1956.0,A Probabilistic Theory of Consumer Behavior,ML
11.0,1972.0,A Radical Analysis of Welfare Economics and Individual Development,ML
5.0,2016.0,A Randomized Assessment of Online Learning,ML
9.0,2000.0,A Reality Check for Data Snooping,ML
5.0,2017.0,A STRUCTURAL MODEL OF DENSE NETWORK FORMATION,ML
4.0,1994.0,A Simulation Estimator for Dynamic Models of Discrete Choice,ML
11.0,2013.0,A THEORY OF DISAGREEMENT IN REPEATED GAMES WITH BARGAINING,ML
5.0,2017.0,Abducting Economics,ML
2.0,1929.0,"Academic Economics in Present Russia Gelesnoff, Grundzuge",ML
7.0,2015.0,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",ML
2.0,1977.0,Adam Smith on Human Capital,ML
5.0,1965.0,Adam Smith's Philosophy of Science,ML
9.0,2005.0,Adaptive Heuristics,ML
3.0,1912.0,"Address of President Taft: At the Luncheon of the Economic Association, at the Raleigh Hotel, Washington, D. C., December 28, 1911",ML
11.0,1946.0,Admission Policies of Labor Unions,ML
9.0,1964.0,Aggregate Production Functions and Medium-Range Growth Projections,ML
12.0,1951.0,Agricultural Productivity and Economic Development in Japan,ML
11.0,1955.0,Alfred Marshall on Economic History and Historical Development,ML
8.0,1976.0,Alfred Marshall: Victorian Relevance for Modern Economics,ML
2.0,1993.0,Allocative Efficiency of Markets with Zero-Intelligence Traders: Market as a Partial Substitute for Individual Rationality,ML
9.0,1942.0,Alphabetical List of Members,ML
7.0,1957.0,Alphabetical List of Members,ML
1.0,1949.0,"Alphabetical List of Members (as of June 15, 1948)",ML
12.0,1919.0,American Minimum Wage Laws at Work,ML
2.0,1977.0,American Technology: Imported or Indigenous?,ML
5.0,1965.0,An Adaptive Production Function,ML
4.0,1919.0,An Appraisal of Clay's Economics,ML
5.0,1983.0,An Entrepreneurial Problem,ML
5.0,1968.0,An Experiment with TIPS: A Computer-aided Instructional System for Undergraduate Education,ML
10.0,1951.0,An Experimental Measurement of Utility,ML
1.0,1887.0,An Historical Sketch of the Knights of Labor,ML
9.0,1988.0,Annual Meeting the American Economic Association,ML
4.0,1941.0,Anthropology and Economics,ML
9.0,2001.0,Any Inspection Is Manipulable,ML
9.0,1995.0,Appropriation and Efficiency: A Revision of the First Theorem of Welfare Economics,ML
5.0,1991.0,Artificial Adaptive Agents in Economic Theory,ML
1.0,2013.0,BELIEF DISAGREEMENTS AND COLLATERAL CONSTRAINTS,ML
9.0,1981.0,Back Matter,ML
12.0,2001.0,Back Matter,ML
4.0,1962.0,Back Matter,ML
3.0,1967.0,Back Matter,ML
3.0,2014.0,Back Matter,ML
9.0,1990.0,Back Matter,ML
3.0,1968.0,Back Matter,ML
3.0,2007.0,Back Matter,ML
3.0,1950.0,Back Matter,ML
3.0,1992.0,Back Matter,ML
10.0,1994.0,Back Matter,ML
10.0,1961.0,Back Matter,ML
12.0,1995.0,Back Matter,ML
10.0,1991.0,Back Matter,ML
5.0,2004.0,Back Matter,ML
3.0,1974.0,Back Matter,ML
7.0,2013.0,Back Matter,ML
4.0,1972.0,Back Matter,ML
10.0,1960.0,Back Matter,ML
4.0,1974.0,Back Matter,ML
12.0,1987.0,Back Matter,ML
12.0,1999.0,Back Matter,ML
8.0,2018.0,Back Matter,ML
5.0,1997.0,Back Matter,ML
5.0,1992.0,Back Matter,ML
5.0,2007.0,Back Matter,ML
12.0,1986.0,Back Matter,ML
10.0,2017.0,Back Matter,ML
1.0,1975.0,Back Matter,ML
5.0,2004.0,Back Matter,ML
9.0,2001.0,Back Matter,ML
7.0,2018.0,Back Matter,ML
9.0,1983.0,Back Matter,ML
9.0,1989.0,Back Matter,ML
3.0,1976.0,Back Matter,ML
10.0,1979.0,Back Matter,ML
7.0,2014.0,Back Matter,ML
11.0,2013.0,Back Matter,ML
5.0,2014.0,Back Matter,ML
9.0,2013.0,Back Matter,ML
11.0,2009.0,Bayesian Estimation of Dynamic Discrete Choice Models,ML
7.0,2016.0,"Behavioral Economics: Past, Present, and Future",ML
6.0,2002.0,Behavioral Macroeconomics and Macroeconomic Behavior,ML
4.0,1961.0,Behavioristic Foundations of Utility,ML
10.0,1975.0,"Bentham or Bergson? Finite Sensibility, Utility Functions and Social Welfare Functions",ML
12.0,1957.0,Biographical Directory of Members of Econometric Society,ML
12.0,1985.0,Biographical Listing of Members,ML
12.0,1993.0,Biographical Listing of Members,ML
12.0,1981.0,Biographical Listing of Members,ML
1.0,1970.0,Biographical Listings of Members,ML
11.0,2010.0,CONFLICT AND DETERRENCE UNDER STRATEGIC RISK,ML
5.0,1974.0,Capital Controversies: Ancient and Modern,ML
5.0,1908.0,"Capital, Interest, and Diminishing Returns",ML
11.0,1921.0,Cassel's Theoretische Sozialökonomie,ML
10.0,2017.0,Certification and Market Transparency,ML
6.0,1939.0,"Changes in the Nation's Labor Supply, 1930-1937",ML
11.0,1925.0,Chapters on Machinery and Labor,ML
5.0,1925.0,Chapters on Machinery and Labor,ML
11.0,1981.0,"Cheap Labor and Southern Textiles, 1880-1930",ML
8.0,2011.0,Climbing atop the Shoulders of Giants: The Impact of Institutions on Cumulative Research,ML
5.0,1985.0,Clio and the Economics of QWERTY,ML
6.0,2003.0,Collusive Practices in Repeated English Auctions: Experimental Evidence on Bidding Rings,ML
6.0,1962.0,Comment,ML
3.0,1921.0,Comments of An Ore Engineer,ML
1.0,2000.0,Communication and Coordination in Social Networks,ML
5.0,1961.0,Communist China's Statistical System: 1949-57,ML
12.0,2014.0,Competing for Consumer Inattention,ML
10.0,2014.0,Competition and Ideological Diversity: Historical Evidence from US Newspapers,ML
11.0,1985.0,Competitive Value When Only Labor is Scarce,ML
2.0,2012.0,Compulsory Licensing: Evidence from the Trading with the Enemy Act,ML
5.0,2010.0,Computer Mediated Transactions,ML
1.0,2011.0,Consideration Sets and Competitive Marketing,ML
12.0,2008.0,Consumption Inequality and Partial Insurance,ML
12.0,2008.0,Contextual Inference in Markets: On the Informational Content of Product Lines,ML
11.0,1995.0,Cooperation and Effective Computability,ML
9.0,2015.0,"Cooperation, but No Reciprocity: Individual Strategies in the Repeated Prisoner's Dilemma",ML
3.0,1984.0,Coping with Complexity: The Adaptive Value of Changing Utility,ML
5.0,2017.0,Core Determining Class and Inequality Selection,ML
2.0,2013.0,Cultural Change as Learning: The Evolution of Female Labor Force Participation over a Century,ML
6.0,1934.0,Currency Inflation: Its Nature and Implications,ML
1.0,2012.0,DEFINABLE AND CONTRACTIBLE CONTRACTS,ML
2.0,2013.0,DOES MANAGEMENT MATTER? EVIDENCE FROM INDIA,ML
11.0,2012.0,DYNAMIC GAMES WITH ASYMMETRIC INFORMATION: A FRAMEWORK FOR EMPIRICAL WORK,ML
3.0,1977.0,De Gustibus Non Est Disputandum,ML
5.0,1983.0,"De-Skilling, Skilled Commodities, and the NICs' Emerging Competitive Advantage",ML
8.0,1993.0,Decomposing Learning by Doing in New Plants,ML
4.0,1996.0,Delay and Cycles,ML
6.0,1953.0,Democracy in Labor Unions,ML
5.0,1991.0,Designing Economic Agents that Act like Human Agents: A Behavioral Approach to Bounded Rationality,ML
5.0,2011.0,Did Credit Rating Agencies Make Unbiased Assumptions on CDOs?,ML
5.0,1991.0,Diffusion of Development: Post-World War II Convergence Among Advanced Industrial Nations,ML
3.0,1944.0,Diminishing Returns from Investment,ML
10.0,2002.0,Directed Technical Change,ML
5.0,1972.0,Discussion,ML
5.0,1953.0,Discussion,ML
5.0,1955.0,Discussion,ML
5.0,1958.0,Discussion,ML
5.0,1949.0,Discussion,ML
5.0,1968.0,Discussion,ML
5.0,1968.0,Discussion,ML
5.0,1946.0,Discussion,ML
5.0,1978.0,Disembodied Technical Progress: Does Employee Participation In Decision Making Contribute To Change and Growth?,ML
6.0,1980.0,Do Union Members Receive Compensating Wage Differentials?,ML
9.0,1968.0,Doctoral Dissertations,ML
12.0,1974.0,Doctoral Dissertations,ML
