ArchiveYear	CalFireIncident	Counties	Latitude	Longitude	year	month	day	MajorIncident	AdminUnit	CanonicalUrl	ConditionStatement	ControlStatement	CountyIds	Extinguished	FuelType	Location	Name	SearchDescription	SearchKeywords	Started	UniqueId	Updated	Group	Selected
continuous	False True	Alameda Alpine Amador Butte Calaveras Colusa Contra\ Costa Del\ Norte El\ Dorado Fresno Glenn Humboldt Inyo Kern Kings Lake Lassen Los\ Angeles Madera Marin Mariposa Mendocino Merced Mexico Modoc Mono Monterey Napa Nevada Orange Placer Plumas Riverside Sacramento San\ Benito San\ Bernardino San\ Diego San\ Joaquin San\ Luis\ Obispo San\ Mateo Santa\ Barbara Santa\ Clara Santa\ Cruz Shasta Sierra Siskiyou Solano Sonoma Stanislaus State\ of\ Nevada State\ of\ Oregon Sutter Tehama Trinity Tulare Tuolumne Ventura Yolo Yuba	continuous	continuous	1969 2013 2014 2015 2016 2017 2018 2019	01 02 03 04 05 06 07 08 09 10 11 12	01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31	False True	string	string	string	string	string	string	string	string	string	string	string	string	string	string	discrete	No Yes
								class	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
2019.0	False	Kern	35.65189	-118.92545	2019	04	30	False	Kern County Fire Department	/incidents/2019/4/30/woody-fire/			15	2019-05-08T08:47:00Z		Woody Rd & Horseshoe Ranch Rd, northeast of Bakersfield	Woody Fire	The Woody Fire started on April 30, 2019 off Woody Rd & Horseshoe Ranch Rd, northeast of Bakersfield (Kern County). It was contained on May 1, 2019.	April 2019	2019-04-30T18:37:00Z	d3beabf6-63e9-4cad-a17c-58bb36abd7ac	2019-05-08T08:47:00Z	G1	No
2013.0	False	Riverside	33.99647	-116.84137	2013	06	09	False	USFS San Bernardino National Forest	/incidents/2013/6/9/hathaway-fire/			33	2013-06-09T16:45:00Z		Hathaway Canyon area, northeast of Banning	Hathaway Fire	The Hathaway Fire burned in June 2013 in the Hathaway Canyon area, northeast of Banning on the San Bernardino National Forest in Riverside County.	Hathaway Fire, June 2013, USFS San Bernardino National Forest, Hathaway Canyon, Riverside County	2013-06-09T12:30:00Z	befb9d5c-c0ea-48b8-8589-2586be0275af	2013-06-09T16:45:00Z	G1	No
2016.0	True	Alameda	37.74369	-121.58677	2016	06	25	False	CAL FIRE Santa Clara Unit	/incidents/2016/6/25/grant-fire/			1	2016-06-26T07:00:00Z		In the Altamont Pass, 10 miles east of Livermore	Grant Fire	Grant Fire, Santa Clara	Grant Fire, Santa Clara	2016-06-25T16:11:00Z	3822b8a2-1a89-40e8-b239-840cfcda7a1c	2016-06-26T07:00:00Z	G1	No
2019.0	True	Riverside	33.740219	-117.333728	2019	08	05	False	CAL FIRE Riverside County Fire Department	/incidents/2019/8/5/toro-fire/			33	2019-08-06T18:42:00Z		26000 Block El Toro Road, North of Lake Elsinore	Toro Fire	The Toro Fire started on August 5, 2019 at 26000 Block El Toro Road, North of Lake Elsinore in Riverside County.		2019-08-05T15:36:23Z	0089d3c4-c554-46e1-8eb9-af95e4dfae0c	2019-08-06T18:42:43.083Z	G1	No
2017.0	True	Monterey	35.947	-120.87492	2017	06	28	False	CAL FIRE San Benito-Monterey	/incidents/2017/6/28/alvarado-fire/			27	2018-01-09T11:10:00Z		Alvarado Rd and Wunpost in the community of Bradley	Alvarado Fire	The Alvarado Fire started on June 28, 2017 off of Alvarado Rd and Wunpost in the community of Bradley (Monterey County) and burned 15 acres.	Alvarado Rd, Wunpost, Bradley, June 2017, Monterey County, Alvarado Fire	2017-06-28T09:30:00Z	c171dc75-9d35-4c58-b787-032067b16ae7	2018-01-09T11:10:00Z	G1	No
2019.0	True	Yuba	39.24678	-121.32399	2019	06	25	False	CAL FIRE Nevada-Yuba-Placer Unit	/incidents/2019/6/25/scott-fire/			58	2019-06-25T13:50:00Z		off Scott Forbes Rd, 5 miles east of Browns Valley	Scott Fire	The Scott Fire started on June 24, 2019 off Scott Forbes Rd, 5 miles east of Browns Valley in Yuba County. Was contained 6/24/2019		2019-06-25T13:51:09Z	31cbc968-6d9d-412b-8bc3-6846ca398fe2	2019-06-27T08:24:51.86Z	G1	No
2017.0	True	Monterey	35.86596	-120.64584	2017	08	07	False	CAL FIRE San Benito-Monterey	/incidents/2017/8/7/country-fire/			27	2018-01-09T12:27:00Z		Portuguese Canyon Rd. at Cross Country Rd. southeast of Bradley	Country Fire	The Country Fire started on August 7, 2017, off Portuguese Canyon Road and Cross Country Road near Bradley (Monterey County) and burned 82 acres.	Country Fire, Monterey County, Portuguese Canyon Road, Cross Country Road, Bradley, August 2017	2017-08-07T18:08:00Z	e65c3e0b-08d9-43cf-b1ac-8e57d5f407fc	2018-01-09T12:27:00Z	G1	No
2019.0	True	San Bernardino	34.353667	-117.343833	2019	09	02	False	CAL FIRE San Bernardino Unit	/incidents/2019/9/2/telephone-fire/	Forward rate of spread has been stopped. CAL FIRE resources will remain on scene for mop-up.		36	2019-09-06T08:00:00Z		Old Dump Road, south of Summit Valley Road, Hesperia	Telephone Fire	The Telephone Fire started on September 2, 2019 off Old Dump Road, south of Summit Valley Road, Hesperia in San Bernardino County		2019-09-02T20:27:29Z	a5331bf6-d695-4309-a846-96808e41d757	2019-09-06T10:10:55.017Z	G1	No
