Region,SubRegion,Country,City,Airport name,IATA Code
string,string,string,string,string,string
meta,meta,meta,meta,meta,meta
Africa,Northern Africa,Algeria,Adrar,Touat-Cheikh Sidi Mohamed Belkebir Airport,AZR
Africa,Northern Africa,Algeria,Algiers,Houari Boumediene Airport,ALG
Africa,Northern Africa,Algeria,Annaba,Rabah Bitat Airport,AAE
Africa,Northern Africa,Algeria,Batna,Batna Airport,BLJ
Africa,Northern Africa,Algeria,Béjaïa,Soummam Airport,BJA
Africa,Northern Africa,Algeria,Oumache,Biskra Airport,BSK
Africa,Northern Africa,Algeria,Chlef,Chlef International Airport,CFK
Africa,Northern Africa,Algeria,Constantine,Mohamed Boudiaf International Airport,CZL
Africa,Northern Africa,Algeria,Hassi Messaoud,Oued Irara Airport,HME
Africa,Northern Africa,Algeria,Jijel,Jijel Ferhat Abbas Airport,GJL
Africa,Northern Africa,Algeria,Oran,Oran Es Senia Airport,ORN
Africa,Northern Africa,Algeria,Sétif,Ain Arnat Airport,QSF
Africa,Northern Africa,Algeria,Tamanrasset,Tamanrasset Airport,TMR
Africa,Northern Africa,Algeria,Tlemcen,Zenata – Messali El Hadj Airport,TLM
Africa,Northern Africa,Egypt,Alexandria,Borg El Arab Airport,HBE
Africa,Northern Africa,Egypt,El Nouzha Airport,ALY,
Africa,Northern Africa,Egypt,Asyut,Assiut Airport,ATZ
Africa,Northern Africa,Egypt,Aswan,Aswan International Airport,ASW
Africa,Northern Africa,Egypt,Cairo,Cairo International Airport,CAI
Africa,Northern Africa,Egypt,El Arish,El Arish International Airport,AAC
Africa,Northern Africa,Egypt,El Dabaa,El Alamein International Airport,DBB
Africa,Northern Africa,Egypt,Hurghada,Hurghada International Airport,HRG
Africa,Northern Africa,Egypt,Luxor,Luxor International Airport,LXR
Africa,Northern Africa,Egypt,Marsa Alam,Marsa Alam International Airport,RMF
Africa,Northern Africa,Egypt,Mersa Matruh,Mersa Matruh International Airport,MUH
Africa,Northern Africa,Egypt,Saint Catherine,St. Catherine International Airport,SKV
Africa,Northern Africa,Egypt,Sharm El Sheikh,Sharm El Sheikh International Airport,SSH
Africa,Northern Africa,Egypt,Sohag,Sohag International Airport,HMB
Africa,Northern Africa,Egypt,Taba,Taba International Airport,TCP
Africa,Northern Africa,Libya,Benghazi,Benina International Airport,BEN
Africa,Northern Africa,Libya,Sabha,Sabha Airport,SEB
Africa,Northern Africa,Libya,Tripoli,Tripoli International Airport,TIP
Africa,Northern Africa,Libya,Tajoura,Mitiga International Airport,MJI
Africa,Northern Africa,Morocco,Agadir,Agadir–Al Massira Airport,AGA
Africa,Northern Africa,Morocco,Casablanca,Mohammed V International Airport,CMN
Africa,Northern Africa,Morocco,Fes,Fès–Saïs Airport,FEZ
Africa,Northern Africa,Morocco,Marrakech,Marrakesh Menara Airport,RAK
Africa,Northern Africa,Morocco,Nador,Nador International Airport,NDR
Africa,Northern Africa,Morocco,Oujda,Angads Airport,OUD
Africa,Northern Africa,Morocco,Rabat,Rabat–Salé Airport,RBA
Africa,Northern Africa,Morocco,Tangier,Tangier Ibn Battouta Airport,TNG
Africa,Northern Africa,Morocco,Tetouan,Sania Ramel Airport,TTU
Africa,Northern Africa,Morocco,Dakhla,Dakhla Airport,VIL
Africa,Northern Africa,Morocco,Laayoune,Hassan I Airport,EUN
Africa,Northern Africa,Sudan,Khartoum,Khartoum International Airport,KRT
Africa,Northern Africa,Sudan,Port Sudan,Port Sudan New International Airport,PZU
Africa,Northern Africa,Tunisia,Djerba,Djerba–Zarzis International Airport,DJE
Africa,Northern Africa,Tunisia,Enfidha,Enfidha–Hammamet International Airport,NBE
Africa,Northern Africa,Tunisia,Monastir,Monastir Habib Bourguiba International Airport,MIR
Africa,Northern Africa,Tunisia,Sfax,Sfax–Thyna International Airport,SFA
Africa,Northern Africa,Tunisia,Tabarka,Tabarka–Aïn Draham International Airport,TBJ
Africa,Northern Africa,Tunisia,Tozeur,Tozeur–Nefta International Airport,TOE
Africa,Northern Africa,Tunisia,Tunis,Tunis–Carthage International Airport,TUN
Africa,Eastern Africa,Burundi,Bujumbura,Bujumbura International Airport,BJM
Africa,Eastern Africa,Comoros,Moroni,Prince Said Ibrahim International Airport,HAH
Africa,Eastern Africa,Djibouti,Djibouti City,Djibouti–Ambouli International Airport,JIB
Africa,Eastern Africa,Eritrea,Asmara,Asmara International Airport,ASM
Africa,Eastern Africa,Ethiopia,Addis Ababa,Addis Ababa Bole International Airport,ADD
Africa,Eastern Africa,Ethiopia,Dire Dawa,Dire Dawa Airport,DIR
Africa,Eastern Africa,Kenya,Eldoret,Eldoret International Airport,EDL
Africa,Eastern Africa,Kenya,Mombasa,Moi International Airport,MBA
Africa,Eastern Africa,Kenya,Kisumu,Kisumu International Airport,KIS
Africa,Eastern Africa,Kenya,Nairobi,Jomo Kenyatta International Airport,NBO
Africa,Eastern Africa,Madagascar,Antananarivo,Ivato International Airport,TNR
Africa,Eastern Africa,Madagascar,Antsiranana,Arrachart Airport,DIE
Africa,Eastern Africa,Madagascar,Mahajanga,Amborovy Airport,MJN
Africa,Eastern Africa,Madagascar,Nosy Be,Fascene Airport,NOS
Africa,Eastern Africa,Madagascar,Toamasina,Toamasina Airport,TMM
Africa,Eastern Africa,Madagascar,Tôlanaro,Tôlanaro Airport,FTU
Africa,Eastern Africa,Madagascar,Toliara,Toliara Airport,TLE
Africa,Eastern Africa,Malawi,Blantyre,Chileka International Airport,BLZ
Africa,Eastern Africa,Malawi,Lilongwe,Lilongwe International Airport,LLW
Africa,Eastern Africa,Mauritius,Plaine Magnien,Sir Seewoosagur Ramgoolam International Airport,MRU
Africa,Eastern Africa,Mayotte,Dzaoudzi,Dzaoudzi–Pamandzi International Airport,DZA
Africa,Eastern Africa,Mozambique,Maputo,Maputo International Airport,MPM
Africa,Eastern Africa,Mozambique,Beira,Beira Airport,BEW
Africa,Eastern Africa,Mozambique,Inhambane,Inhambane Airport,INH
Africa,Eastern Africa,Mozambique,Nampula,Nampula Airport,APL
Africa,Eastern Africa,Mozambique,Pemba,Pemba Airport,POL
Africa,Eastern Africa,Mozambique,Tete,Chingozi Airport,TET
Africa,Eastern Africa,Mozambique,Vilankulo,Vilankulo Airport,VNX
Africa,Eastern Africa,Réunion,Saint-Denis,Roland Garros Airport,RUN
Africa,Eastern Africa,Rwanda,Kigali,Kigali International Airport,KGL
Africa,Eastern Africa,Seychelles,Victoria,Seychelles International Airport,SEZ
Africa,Eastern Africa,Somalia,Bosaso,Bosaso Airport,BSA
Africa,Eastern Africa,Somalia,Galkayo,Abdullahi Yusuf Airport,GBY
Africa,Eastern Africa,Somalia,Garoowe,Garowe Airport,GGR
Africa,Eastern Africa,Somalia,Hargeisa,Hargeisa Airport,HGA
Africa,Eastern Africa,Somalia,Kismayo,Kismayo Airport,KMU
Africa,Eastern Africa,Somalia,Mogadishu,Aden Adde International Airport,MGQ
Africa,Eastern Africa,South Sudan,Juba,Juba International Airport,JUB
Africa,Eastern Africa,Tanzania,Arusha,Arusha Airport,ARK
Africa,Eastern Africa,Tanzania,Dar es Salaam,Julius Nyerere International Airport,DAR
Africa,Eastern Africa,Tanzania,Hai District,Kilimanjaro International Airport,JRO
Africa,Eastern Africa,Tanzania,Mwanza,Mwanza Airport,MWZ
Africa,Eastern Africa,Tanzania,Unguja,",",Zanzibar
Africa,Eastern Africa,Uganda,Arua,Arua Airport,RUA
Africa,Eastern Africa,Uganda,Entebbe,Entebbe International Airport,EBB
Africa,Eastern Africa,Uganda,Gulu,Gulu Airport,ULU
Africa,Eastern Africa,Zambia,Livingstone,Harry Mwanga Nkumbula International Airport,LVI
Africa,Eastern Africa,Zambia,Lusaka,Kenneth Kaunda International Airport,LUN
Africa,Eastern Africa,Zambia,Ndola,Simon Mwansa Kapwepwe International Airport,NLA
Africa,Eastern Africa,Zimbabwe,Harare,Robert Gabriel Mugabe International Airport,HRE
Africa,Eastern Africa,Zimbabwe,Victoria Falls,Victoria Falls Airport,VFA
Africa,Eastern Africa,Zimbabwe,Bulawayo,Joshua Mqabuko Nkomo International Airport,BUQ
Africa,Central Africa,Angola,Luanda,Quatro de Fevereiro Airport,LAD
Africa,Central Africa,Angola,Lubango,Lubango Airport,SDD
Africa,Central Africa,Cameroon,Douala,Douala International Airport,DLA
Africa,Central Africa,Cameroon,Yaoundé,Yaoundé Nsimalen International Airport,NSI
Africa,Central Africa,Central African Republic,Bangui,Bangui M'Poko International Airport,BGF
Africa,Central Africa,Chad,N'Djamena,N'Djamena International Airport,NDJ
Africa,Central Africa,Democratic Republic of the Congo,Goma,Goma International Airport,GOM
Africa,Central Africa,Democratic Republic of the Congo,Kinshasa,N'djili Airport,FIH
Africa,Central Africa,Democratic Republic of the Congo,Kisangani,Kisangani Bangoka International Airport,FKI
Africa,Central Africa,Democratic Republic of the Congo,Lubumbashi,Lubumbashi International Airport,FBM
Africa,Central Africa,Republic of the Congo,Brazzaville,Maya-Maya Airport,BZV
Africa,Central Africa,Republic of the Congo,Pointe-Noire,Agostinho-Neto International Airport,PNR
Africa,Central Africa,Equatorial Guinea,Malabo,Malabo International Airport,SSG
Africa,Central Africa,Gabon,Franceville,M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB
Africa,Central Africa,Gabon,Libreville,Léon-Mba International Airport,LBV
Africa,Central Africa,Gabon,Port-Gentil,Port-Gentil International Airport,POG
Africa,Central Africa,São Tomé and Príncipe,São Tomé,São Tomé International Airport,TMS
Africa,Southern Africa,Benin,Cotonou,Cadjehoun Airport,COO
Africa,Southern Africa,Eswatini,Manzini,King Mswati III International Airport,SHO
Africa,Southern Africa,Lesotho,Maseru,Moshoeshoe I International Airport,MSU
Africa,Southern Africa,Namibia,Windhoek,Hosea Kutako International Airport,WDH
Africa,Southern Africa,Namibia,Walvis Bay,Walvis Bay Airport,WVB
Africa,Southern Africa,South Africa,Cape Town,Cape Town International Airport,CPT
Africa,Southern Africa,South Africa,Durban,King Shaka International Airport,DUR
Africa,Southern Africa,South Africa,Johannesburg,O. R. Tambo International Airport,JNB
Africa,Southern Africa,South Africa,Lanseria International Airport,HLA,
Africa,Southern Africa,South Africa,Nelspruit,Kruger Mpumalanga International Airport,MQP
Africa,Southern Africa,South Africa,Bloemfontein,Bram Fischer International Airport,BFN
Africa,Southern Africa,South Africa,East London,East London Airport,ELS
Africa,Western Africa,Botswana,Gaborone,Sir Seretse Khama International Airport,GBE
Africa,Western Africa,Botswana,Maun,Maun Airport,MUB
Africa,Western Africa,Botswana,Francistown,Francistown International Airport,FRW
Africa,Western Africa,Botswana,Kasane,Kasane Airport,BBK
Africa,Western Africa,Burkina Faso,Bobo-Dioulasso,Bobo Dioulasso Airport,BOY
Africa,Western Africa,Burkina Faso,Ouagadougou,Thomas Sankara International Airport Ouagadougou,OUA
Africa,Western Africa,Cape Verde,Boa Vista,Aristides Pereira International Airport,BVC
Africa,Western Africa,Cape Verde,Sal Island,Amílcar Cabral International Airport,SID
Africa,Western Africa,Cape Verde,Praia,",",Santiago Island
Africa,Western Africa,Cape Verde,São Vicente,Cesária Évora Airport,VXE
Africa,Western Africa,Côte d'Ivoire,Abidjan,Félix-Houphouët-Boigny International Airport,ABJ
Africa,Western Africa,The Gambia,Banjul,Banjul International Airport,BJL
Africa,Western Africa,Ghana,Accra,Kotoka International Airport,ACC
Africa,Western Africa,Ghana,Kumasi,Kumasi International Airport,KMS
Africa,Western Africa,Ghana,Takoradi,Takoradi Airport,TKD
